"","V1"
"2708",-0.008077387
"2709",0.02063672
"2710",-0.0006822302
"2711",-0.001657875
"2712",0.006093612
"2713",0.0001358264
"2714",0.003801484
"2715",0.007085786
"2716",-0.003658032
"2717",0.002015432
"2718",0.007207635
"2719",-0.01601464
"2720",0.01045908
"2721",0.001762337
"2722",0.002376409
"2723",0.00213467
"2724",6.88554e-06
"2725",-0.00270421
"2726",0.001114217
"2727",-0.0004493834
"2728",0.0009360856
"2729",0.007719336
"2730",0.003661307
"2731",0.0190893
"2732",0.003905079
"2733",-0.00213321
"2734",-0.008094895
"2735",0.004356534
"2736",-0.00426115
"2737",-0.01188877
"2738",-0.001228177
"2739",-0.01634816
"2740",0.0002021404
"2741",0.01523058
"2742",0.002527152
"2743",-0.001586608
"2744",-0.01439703
"2745",0.01480272
"2746",-0.007506592
"2747",-0.00138981
"2748",-0.006098716
"2749",0.02137662
"2750",0.0127271
"2751",0.002589854
"2752",-0.001309082
"2753",0.0005049477
"2754",0.003684926
"2755",0.003825384
"2756",0.005973703
"2757",3.831953e-05
"2758",0.0009005418
"2759",-0.005145618
"2760",0.006156046
"2761",0.0008264544
"2762",0.002535112
"2763",0.006001994
"2764",0.003363857
"2765",-0.001655682
"2766",0.0006025092
"2767",0.0007610268
"2768",0.000998636
"2769",-0.001519357
"2770",-0.0002008075
"2771",0.01125129
"2772",-0.001313925
"2773",0.004994677
"2774",-0.002125214
"2775",-0.001846486
"2776",-0.001377275
"2777",0.003718206
"2778",0.008967254
"2779",-0.001712211
"2780",0.00735741
"2781",0.001375465
"2782",-0.01016717
"2783",-0.001295798
"2784",0.002410638
"2785",0.005819315
"2786",0.0002634279
"2787",0.004212024
"2788",0.002241791
"2789",-0.01801381
"2790",0.00763335
"2791",0.01654579
"2792",-0.002736231
"2793",0.002341433
"2794",0.002870111
"2795",0.006210783
"2796",0.00416602
"2797",-0.002799653
"2798",0.000739212
"2799",0.005482261
"2800",0.002372085
"2801",-0.003250154
"2802",0.006227938
"2803",0.003060971
"2804",0.001912873
"2805",-0.02075221
"2806",-0.006140715
"2807",-0.0010048713
"2808",0.01048525
"2809",0.00553568
"2810",-0.01586486
"2811",0.001613898
"2812",0.01707244
"2813",-0.00740539
"2814",-0.008376215
"2815",0.008883161
"2816",-0.001362631
"2817",-0.01905128
"2818",0.007055565
"2819",-0.006067696
"2820",-0.01126354
"2821",-0.01968748
"2822",0.01330927
"2823",0.004300939
"2824",0.01487467
"2825",-0.003556885
"2826",0.002909742
"2827",0.009297393
"2828",0.003156151
"2829",-0.002751619
"2830",0.00703524
"2831",0.006662463
"2832",-0.001831177
"2833",0.004950713
"2834",0.0003451502
"2835",-0.0001800713
"2836",0.002181297
"2837",-0.001521162
"2838",-0.004012483
"2839",-0.002797288
"2840",-0.007807096
"2841",0.0001902175
"2842",8.367358e-05
"2843",0.003917729
"2844",-0.011079
"2845",0.00571481
"2846",0.01342443
"2847",0.005262909
"2848",-0.00159394
"2849",0.008939508
"2850",0.006230398
"2851",0.003549118
"2852",0.00229802
"2853",-0.001754249
"2854",-0.003385027
"2855",-0.006878914
"2856",-0.009111217
"2857",0.003812643
"2858",0.00453387
"2859",0.008041616
"2860",-0.01117369
"2861",0.004883493
"2862",-0.008100046
"2863",-0.006223719
"2864",-0.0003686291
"2865",0.008765273
"2866",0.002175573
"2867",-0.007717975
"2868",-0.01199727
"2869",-0.0008277228
"2870",0.003178114
"2871",0.003945322
"2872",0.004072616
"2873",0.01053701
"2874",-0.02304823
"2875",-0.001225587
"2876",-0.009781492
"2877",-0.01081852
"2878",-0.0009568654
